0.0592;0
0.6523;1
0.1878;0
0.7506;1
0.9411;1
0.8961;1
0.106;0
0.0303;0
0.8054;1
0.9598;1
0.1138;0
0.2619;0
0.8264;1
0.3791;0
0.9548;1
0.3131;0
0.5602;1
0.6198;1
0.6704;1
0.2522;0
0.3968;0
0.0311;0
0.136;0
0.9957;1
0.2669;0
0.6911;1
0.3893;0
0.7222;1
0.119;0
0.1042;0
0.8608;1
0.6698;1
0.3697;0
0.9007;1
0.4701;0
0.2865;0
0.6439;1
0.781;1
0.8609;1
0.6098;1
0.1036;0
0.7319;1
0.3106;0
0.9705;1
0.1184;0
0.3174;0
0.1653;0
0.8142;1
0.4445;0
0.5359;1
0.6049;1
0.0034;0
0.1473;0
0.4898;0
0.8275;1
0.5608;1
0.2742;0
0.7995;1
0.406;0
0.6542;1
0.2092;0
0.3017;0
0.3189;0
0.3015;0
0.2392;0
0.2266;0
0.3091;0
0.6295;1
0.4757;0
0.5157;1
0.2644;0
0.7946;1
0.7353;1
0.5427;1
0.7145;1
0.4897;0
0.2467;0
0.5594;1
0.5966;1
0.297;0
0.712;1
0.6952;1
0.77;1
0.0795;0
0.4269;0
0.4344;0
0.3024;0
0.7322;1
0.4727;0
0.5236;1
0.4317;0
0.4572;0
0.6702;1
0.332;0
0.8492;1
0.6616;1
0.9704;1
0.747;1
0.1964;0
0.9703;1
0.9778;1
0.2812;0
0.2148;0
0.9531;1
0.8752;1
0.1558;0
0.9852;1
0.3801;0
0.5494;1
0.8528;1
0.2572;0
0.9236;1
0.5167;1
0.9461;1
0.8892;1
0.0343;0
0.393;0
0.3405;0
0.5771;1
0.6495;1
0.911;1
0.6942;1
0.9916;1
0.0579;0
0.725;1
0.9106;1
0.2234;0
0.0481;0
0.503;1
0.7409;1
0.0604;0
0.3686;0
0.6032;1
0.9803;1
0.4771;0
0.6137;1
7.0E-4;0
0.738;1
0.0544;0
0.6468;1
0.2284;0
0.7004;1
0.1058;0
0.872;1
0.9374;1
0.8522;1
0.1454;0
0.2269;0
0.6492;1
0.882;1
0.6807;1
0.1515;0
0.3493;0
0.5374;1
0.6621;1
0.1128;0
0.3483;0
0.8429;1
0.0546;0
0.5029;1
0.9718;1
0.4006;0
0.1719;0
0.9879;1
0.4741;0
0.4135;0
0.5397;1
0.0424;0
0.3024;0
0.5586;1
0.6919;1
0.2807;0
0.7817;1
0.9634;1
0.7285;1
0.5282;1
0.6128;1
0.0507;0
0.2092;0
0.1871;0
0.4213;0
0.3283;0
0.0553;0
0.3922;0
0.5337;1
0.6742;1
0.9732;1
0.0029;0
0.7021;1
0.001;0
0.7849;1
0.8938;1
0.8572;1
0.3489;0
0.3697;0
0.5102;1
0.1573;0
0.6244;1
0.4687;0
0.7883;1
0.5296;1
0.3698;0
0.4791;0
0.0837;0
0.6353;1
0.4693;0
0.7481;1
0.1038;0
0.1546;0
0.9261;1
0.1131;0
0.8193;1
0.5739;1
0.4715;0
0.8564;1
0.5847;1
0.7925;1
0.774;1
0.9973;1
0.5705;1
0.2397;0
0.5488;1
0.7794;1
0.6066;1
0.9356;1
0.7254;1
0.5054;1
0.8432;1
0.4658;0
0.7734;1
0.6597;1
0.4616;0
0.2618;0
0.1674;0
0.005;0
0.8547;1
0.0761;0
0.7818;1
0.8657;1
0.484;0
0.3568;0
0.2963;0
0.2719;0
